-4.000000000000000000e+00;-4.120000000000000107e+00;-3.759999999999999787e+00;-4.000000000000000000e+00
-4.919999999999999929e+00;-4.879999999999999893e+00;-5.599999999999999645e+00;-5.320000000000000284e+00
-5.000000000000000000e+00;-5.559999999999999609e+00;-6.320000000000000284e+00;-5.959999999999999964e+00
-5.000000000000000000e+00;-6.719999999999999751e+00;-6.879999999999999893e+00;-7.120000000000000107e+00
-7.000000000000000000e+00;-7.959999999999999964e+00;-8.000000000000000000e+00;-7.759999999999999787e+00
-6.879999999999999893e+00;-8.199999999999999289e+00;-9.640000000000000568e+00;-9.279999999999999361e+00
-8.000000000000000000e+00;-9.880000000000000782e+00;-9.320000000000000284e+00;-1.011999999999999922e+01
-9.679999999999999716e+00;-1.135999999999999943e+01;-1.103999999999999915e+01;-1.072000000000000064e+01
-9.160000000000000142e+00;-9.919999999999999929e+00;-1.191999999999999993e+01;-1.135999999999999943e+01
-1.196000000000000085e+01;-1.411999999999999922e+01;-1.639999999999999858e+01;-1.511999999999999922e+01
-1.103999999999999915e+01;-1.535999999999999943e+01;-1.303999999999999915e+01;-1.503999999999999915e+01
-1.424000000000000021e+01;-1.500000000000000000e+01;-1.619999999999999929e+01;-1.812000000000000099e+01
-1.548000000000000043e+01;-1.755999999999999872e+01;-1.783999999999999986e+01;-2.216000000000000014e+01
