2.133491276118949231e-01;2.417825695779685924e-01;2.620299278973653445e-01
2.370400006131420934e-01;2.355294285786686259e-01;2.409960905821198485e-01
1.010426670653415404e-01;1.383988510467783206e-01;1.907779975097111391e-01
1.310070500005769134e-01;1.269042441879958960e-01;2.162210446447907775e-01
1.311077584259176532e-01;2.298901197986290557e-01;1.763547333046439902e-01
1.309439401738576314e-01;1.586155214324273810e-01;1.495167108048380267e-01
8.617575300962229679e-02;8.751195390577881650e-02;1.536305205098154325e-01
1.083299664978401300e-01;8.450696093474449611e-02;1.236164069085534112e-01
1.056052322821363770e-01;1.051345038058762588e-01;1.064840445544921188e-01
9.020460511676207938e-02;1.075726640011682028e-01;1.124875979546218624e-01
