2.75;4.05;4.25;4.25
3.3;4.15;4.3;4.3
4.55;6.4;6.85;6.85
5.5;7.35;7.4;7.4
7.15;10.2;10.05;10.2
9.25;11.85;13.1;13.25
11.15;15.05;16.7;16.45
13.3;18.55;19.85;19.95
16.35;21.4;22.45;22.7
22.25;29.85;31.55;32.25
28.3;36.45;38.55;38.6
33.35;43.9;52;54.35
37.65;50.05;63.3;64.7
