2.000000000000000000e+00;2.004999999999999893e+00;2.000000000000000000e+00;2.000000000000000000e+00
3.000000000000000000e+00;4.000000000000000000e+00;3.003666666666666707e+00;3.000000000000000000e+00
4.000000000000000000e+00;4.000000000000000000e+00;4.000000000000000000e+00;4.771666666666666501e+00
5.000000000000000000e+00;4.996999999999999886e+00;5.993333333333333179e+00;5.000000000000000000e+00
5.000000000000000000e+00;5.997666666666666480e+00;7.000000000000000000e+00;6.000000000000000000e+00
5.000000000000000000e+00;6.000000000000000000e+00;7.993333333333333179e+00;6.998333333333333073e+00
5.000000000000000000e+00;7.996666666666667034e+00;6.314000000000000057e+00;9.980666666666666131e+00
7.000000000000000000e+00;8.222333333333333272e+00;1.074000000000000021e+01;7.000000000000000000e+00
7.000000000000000000e+00;8.997999999999999332e+00;1.169733333333333292e+01;1.105766666666666609e+01
8.093333333333333712e+00;1.027699999999999925e+01;1.155666666666666664e+01;1.602233333333333221e+01
1.008300000000000018e+01;1.014933333333333287e+01;1.233999999999999986e+01;1.074266666666666659e+01
1.100000000000000000e+01;1.299666666666666615e+01;1.425966666666666605e+01;1.792766666666666708e+01
1.175500000000000078e+01;1.600199999999999889e+01;1.497266666666666701e+01;1.452500000000000036e+01
1.084500000000000064e+01;1.605966666666666498e+01;1.968499999999999872e+01;1.797833333333333172e+01
1.500000000000000000e+01;1.598900000000000077e+01;1.977966666666666740e+01;1.795599999999999952e+01
1.873999999999999844e+01;2.326633333333333198e+01;2.358333333333333215e+01;2.333533333333333459e+01
2.020666666666666700e+01;2.254433333333333422e+01;2.751266666666666794e+01;2.635099999999999909e+01
1.980333333333333456e+01;2.669266666666666765e+01;3.047433333333333394e+01;2.980666666666666842e+01
2.498466666666666569e+01;2.858566666666666833e+01;3.583233333333333093e+01;3.186100000000000065e+01
2.529466666666666796e+01;3.305333333333333456e+01;4.201333333333333542e+01;3.478566666666666407e+01
2.676399999999999935e+01;3.662733333333333263e+01;4.134366666666666390e+01;4.143900000000000006e+01
