1.136761525357716900e-02;5.438879564672762651e-02;6.952415485759035063e-02
2.246359533455854693e-02;4.223028350322861196e-02;5.297642154614188442e-02
1.928992348278494445e-02;3.328617905196080973e-02;3.936939154467371943e-02
1.549558260325654274e-02;2.545468905830797907e-02;3.248605746246251147e-02
1.472803951710518339e-02;2.313506429999648631e-02;2.422653416775398527e-02
1.414439811931981344e-02;2.021617787201474004e-02;2.229763755661358371e-02
1.179413887222213395e-02;1.456778594936218585e-02;1.887818697837602769e-02
1.040691861069093817e-02;1.451630411788906033e-02;1.564187046905503309e-02
9.121989120111856711e-03;1.188225697573313915e-02;1.388613560487514387e-02
8.979109827472096794e-03;1.195403377343496817e-02;1.179940393550933490e-02
7.483379850428222707e-03;1.143904544572366816e-02;9.886229388211521807e-03
7.047505542020509987e-03;9.615382330525095583e-03;1.052488577623831092e-02
