-3.799999999999999822e+00;-3.759999999999999787e+00;-4.000000000000000000e+00;-4.000000000000000000e+00;-4.000000000000000000e+00
-4.959999999999999964e+00;-4.799999999999999822e+00;-4.080000000000000071e+00;-5.000000000000000000e+00;-4.559999999999999609e+00
-6.000000000000000000e+00;-5.759999999999999787e+00;-5.000000000000000000e+00;-5.000000000000000000e+00;-5.000000000000000000e+00
-6.280000000000000249e+00;-6.759999999999999787e+00;-6.559999999999999609e+00;-5.679999999999999716e+00;-6.000000000000000000e+00
-7.879999999999999893e+00;-7.000000000000000000e+00;-7.719999999999999751e+00;-7.839999999999999858e+00;-7.719999999999999751e+00
-8.000000000000000000e+00;-7.040000000000000036e+00;-8.000000000000000000e+00;-8.320000000000000284e+00;-7.799999999999999822e+00
-8.880000000000000782e+00;-9.000000000000000000e+00;-9.000000000000000000e+00;-8.160000000000000142e+00;-8.000000000000000000e+00
-1.100000000000000000e+01;-1.111999999999999922e+01;-9.080000000000000071e+00;-9.759999999999999787e+00;-9.080000000000000071e+00
-1.080000000000000071e+01;-1.067999999999999972e+01;-1.027999999999999936e+01;-1.080000000000000071e+01;-1.167999999999999972e+01
-1.283999999999999986e+01;-1.111999999999999922e+01;-1.135999999999999943e+01;-1.300000000000000000e+01;-1.108000000000000007e+01
-1.308000000000000007e+01;-1.235999999999999943e+01;-1.400000000000000000e+01;-1.308000000000000007e+01;-1.551999999999999957e+01
-1.491999999999999993e+01;-1.400000000000000000e+01;-1.288000000000000078e+01;-1.500000000000000000e+01;-1.644000000000000128e+01
-1.448000000000000043e+01;-1.591999999999999993e+01;-1.559999999999999964e+01;-1.575999999999999979e+01;-1.508000000000000007e+01
-1.700000000000000000e+01;-1.719999999999999929e+01;-1.683999999999999986e+01;-1.596000000000000085e+01;-1.619999999999999929e+01
